year,state,state_po,totalvotes,votes_republican,votes_democrat,votes_libertarian,votes_other
1984,VERMONT,VT,234561,135865,95730,1002,1964
1984,VIRGINIA,VA,2146635,1337078,796250,0,13307
1984,WASHINGTON,WA,1874910,1051670,798352,8844,16044
1984,WEST VIRGINIA,WV,735742,405483,328125,0,2134
1984,WISCONSIN,WI,2211689,1198584,995740,4883,12482
1984,WYOMING,WY,188968,133241,53370,2357,0
1988,ALABAMA,AL,1378476,815576,549506,8460,4934
1988,ALASKA,AK,200116,119251,72584,5484,2797
1988,ARIZONA,AZ,1171873,702541,454029,13351,1952
1988,ARKANSAS,AR,827738,466578,349237,3297,8626
1988,CALIFORNIA,CA,9887065,5054917,4702233,70105,59810
1988,COLORADO,CO,1372394,728177,621453,15482,7282
1988,CONNECTICUT,CT,1443394,750241,676584,14071,2498
1988,DELAWARE,DE,249891,139639,108647,1162,443
1988,DISTRICT OF COLUMBIA,DC,192877,27590,159407,554,5326
1988,FLORIDA,FL,4302313,2618885,1656701,19796,6931
1988,GEORGIA,GA,1809672,1081331,714792,8435,5114
1988,HAWAII,HI,354461,158625,192364,1999,1473
1988,IDAHO,ID,408968,253881,147272,5313,2502
1988,ILLINOIS,IL,4559120,2310939,2215940,14944,17297
1988,INDIANA,IN,2168621,1297763,860643,0,10215
1988,IOWA,IA,1225614,545355,670557,2494,7208
1988,KANSAS,KS,993044,554049,422636,0,16359
1988,KENTUCKY,KY,1322517,734281,580368,2118,5750
1988,LOUISIANA,LA,1628202,883702,717460,4115,22925
1988,MAINE,ME,555035,307131,243569,2700,1635
1988,MARYLAND,MD,1714358,876167,826304,6748,5139
1988,MASSACHUSETTS,MA,2632801,1194635,1401415,24251,12500
1988,MICHIGAN,MI,3669163,1965486,1675783,18336,9558
1988,MINNESOTA,MN,2096790,962337,1109471,5109,19873
1988,MISSISSIPPI,MS,931527,557890,363921,3329,6387
1988,MISSOURI,MO,2093228,1084953,1001619,0,6656
1988,MONTANA,MT,365674,190412,168936,5047,1279
1988,NEBRASKA,NE,661465,397956,259235,2534,1740
1988,NEVADA,NV,343133,206040,132738,3520,835
1988,NEW HAMPSHIRE,NH,450525,281537,163696,4502,790
1988,NEW JERSEY,NJ,3099553,1743192,1320352,8421,27588
1988,NEW MEXICO,NM,521387,270341,244497,3368,3181
1988,NEW YORK,NY,6485683,5920285,6603369,24218,43821
1988,NORTH CAROLINA,NC,2134370,1237258,890167,0,6945
1988,NORTH DAKOTA,ND,297261,166559,127739,1315,1648
1988,OHIO,OH,4393585,2416549,1939629,11926,25481
1988,OKLAHOMA,OK,1171036,678367,483423,6261,2985
1988,OREGON,OR,1201694,560126,616206,14811,10551
1988,PENNSYLVANIA,PA,4536251,2300087,2194944,12051,29169
1988,RHODE ISLAND,RI,404622,177761,225123,825,913
1988,SOUTH CAROLINA,SC,986009,606443,370554,4935,4077
1988,SOUTH DAKOTA,SD,312991,165415,145560,0,2016
1988,TENNESSEE,TN,1636250,947233,679794,0,9223
1988,TEXAS,TX,5427410,3036829,2352748,30355,7478
1988,UTAH,UT,647008,428442,207343,7473,3750
1988,VERMONT,VT,243328,124331,115775,1000,2222
1988,VIRGINIA,VA,2191609,1309162,859799,8336,14312
1988,WASHINGTON,WA,1865253,903835,933516,17240,10662
1988,WEST VIRGINIA,WV,653311,310065,341016,0,2230
1988,WISCONSIN,WI,2191608,1047499,1126794,0,17315
1988,WYOMING,WY,176551,106867,67113,2026,545
1992,ALABAMA,AL,1688060,804283,690080,5737,187960
1992,ALASKA,AK,258506,102000,78294,1378,76834
1992,ARIZONA,AZ,1486975,572086,543050,6759,365080
